,FEN Board,Evaluation
66,C3kab2/2cN5/5ac2/pn6p/6b2/2P6/P3P1n1P/3CB1N2/4A4/2BA1K3 b - - 12 34,1.23
67,C3kab2/2cN5/3n1ac2/p7p/6b2/2P6/P3P1n1P/3CB1N2/4A4/2BA1K3 w - - 13 35,2.87
68,C3kab2/2c6/3n1Nc2/p7p/6b2/2P6/P3P1n1P/3CB1N2/4A4/2BA1K3 b - - 0 35,2.84
69,C3kab2/5c3/3n1Nc2/p7p/6b2/2P6/P3P1n1P/3CB1N2/4A4/2BA1K3 w - - 1 36,2.71
70,C3kab2/5c3/3n2c2/p7p/6N2/2P6/P3P1n1P/3CB1N2/4A4/2BA1K3 b - - 0 36,2.84
71,C3kab2/5c3/3n2c2/p7p/5nN2/2P6/P3P3P/3CB1N2/4A4/2BA1K3 w - - 1 37,2.54
72,C3kab2/5c3/3n2c2/p7p/5nN2/2P6/P3P3P/3CB1N2/4A4/2BAK4 b - - 2 37,2.61
73,C3kab2/5c3/3n5/p7p/5nN2/2P6/P3P3P/3CB1c2/4A4/2BAK4 w - - 0 38,2.58
74,C3kab2/5c3/3n5/p7p/5nN2/2P6/P3P3P/4B1C2/4A4/2BAK4 b - - 0 38,2.55
75,C3kab2/5c3/3n5/p7p/6N2/2P6/P3n3P/4B1C2/4A4/2BAK4 w - - 0 39,3.5
76,C3kaC2/5c3/3n5/p7p/6N2/2P6/P3n3P/4B4/4A4/2BAK4 b - - 0 39,3.6
77,C3k1C2/4ac3/3n5/p7p/6N2/2P6/P3n3P/4B4/4A4/2BAK4 w - - 1 40,3.59
78,C3k4/4ac3/3n5/p5C1p/6N2/2P6/P3n3P/4B4/4A4/2BAK4 b - - 2 40,3.53
79,C3k4/4ac3/3n5/p5C1p/3n2N2/2P6/P7P/4B4/4A4/2BAK4 w - - 3 41,3.91
80,C3k4/4ac3/3n5/p1C5p/3n2N2/2P6/P7P/4B4/4A4/2BAK4 b - - 4 41,3.96
81,C3k4/5c3/3n1a3/p1C5p/3n2N2/2P6/P7P/4B4/4A4/2BAK4 w - - 5 42,3.96
82,C3k4/5c3/3n1N3/p1C5p/3n5/2P6/P7P/4B4/4A4/2BAK4 b - - 0 42,4.01
83,C3k4/5c3/3n1N3/p1C5p/9/2P2n3/P7P/4B4/4A4/2BAK4 w - - 1 43,4.03
84,1C2k4/5c3/3n1N3/p1C5p/9/2P2n3/P7P/4B4/4A4/2BAK4 b - - 2 43,3.84
85,1C2k4/5c3/3n1N3/p1C5p/7n1/2P6/P7P/4B4/4A4/2BAK4 w - - 3 44,4.58
86,1C2k4/5c3/3n1N3/p1C5p/7n1/2P6/P7P/4BA3/9/2BAK4 b - - 4 44,4.19
87,1C2k4/5c3/3n1N3/p1C5p/9/2P6/P7n/4BA3/9/2BAK4 w - - 0 45,4.74
88,4k4/5c3/3n1N3/p1C5p/9/2P6/P7n/4BA3/1C7/2BAK4 b - - 1 45,4.72
89,4k4/5c3/3n1N3/p1C5p/7n1/2P6/P8/4BA3/1C7/2BAK4 w - - 2 46,6.19
90,4k4/5c3/3n1N3/p1C5p/7n1/2P6/P8/4BA3/4C4/2BAK4 b - - 3 46,6.38
91,3k5/5c3/3n1N3/p1C5p/7n1/2P6/P8/4BA3/4C4/2BAK4 w - - 4 47,6.49
92,3k5/5c3/3n1N3/p2C4p/7n1/2P6/P8/4BA3/4C4/2BAK4 b - - 5 47,6.55
93,3k5/5c3/5N3/p2C1n2p/7n1/2P6/P8/4BA3/4C4/2BAK4 w - - 6 48,6.49
94,3k5/5c3/5N3/p2C1n2p/2P4n1/9/P8/4BA3/4C4/2BAK4 b - - 7 48,6.55
95,3k5/5c3/5N3/p2C1n2p/2P6/9/P5n2/4BA3/4C4/2BAK4 w - - 8 49,6.6
96,3k5/5c3/5N3/p4n2p/2P6/9/P2C2n2/4BA3/4C4/2BAK4 b - - 9 49,6.84
97,3k5/5c3/5N3/p7p/2P6/4n4/P2C2n2/4BA3/4C4/2BAK4 w - - 10 50,6.94
